participant_id,block,corrected_memorability_score,hits,false_alarms,mean_rt_ir,mean_rt_wr,mean_rt_hits,mean_rt_false_alarms,validation_passed,validation_correct,validation_wrong,validation_missed,n_target_sentences,n_active,n_passive,n_HH,n_HL,n_LH,n_LL
271,3,-27,17,44,1935.4935064935064,590.5957446808511,2028.4117647058824,2098.1363636363635,True,8,0,0,16,8,8,4,4,4,4
273,1,7,11,4,1431.8709677419354,737.7619047619048,1639.4545454545455,1514.5,True,8,0,1,16,8,8,4,4,4,4
273,2,8,10,2,1292.9705882352941,916.7727272727273,1615.5,1590.0,True,11,0,0,16,8,8,4,4,4,4
273,3,3,7,4,1635.037037037037,363.0,1938.0,1968.5,True,8,0,2,16,8,8,4,4,4,4
276,1,-6,10,16,2400.475,1174.76,2376.5,2627.125,True,7,0,1,16,8,8,4,4,4,4
276,2,3,9,6,2190.2432432432433,868.3913043478261,2189.4444444444443,2880.6666666666665,True,11,0,0,16,8,8,4,4,4,4
276,3,14,16,2,1593.0263157894738,1515.888888888889,1870.5625,2190.0,True,10,0,0,16,8,8,4,4,4,4
277,1,-16,12,28,1406.35,1012.3055555555555,1495.4166666666667,1547.5,True,10,0,0,16,8,8,4,4,4,4
277,2,1,17,16,1524.622641509434,547.0571428571428,1550.5294117647059,2021.75,True,10,0,0,16,8,8,4,4,4,4
277,3,10,16,6,1488.547619047619,273.7931034482759,1681.3125,2648.6666666666665,True,10,0,0,16,8,8,4,4,4,4
279,1,3,13,10,1703.2439024390244,1052.888888888889,1610.6923076923076,2433.4,True,9,0,0,16,8,8,4,4,4,4
279,2,8,14,6,1984.9285714285713,561.3571428571429,1975.5,3207.6666666666665,True,11,0,0,16,8,8,4,4,4,4
279,3,12,16,4,2022.1052631578948,448.3703703703704,2290.5,2612.5,True,9,0,0,16,8,8,4,4,4,4
280,1,0,12,12,1843.6904761904761,2299.1481481481483,1753.0833333333333,2315.1666666666665,True,9,0,1,16,8,8,4,4,4,4
